0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:28 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:38 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:40 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:41 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:42 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:42 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:45 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:45 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:46 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:49 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:08:55 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:27:07 +0900] "GET /01.HTMLProject/0714_Test3.html HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:45:07 +0900] "GET /01.HTMLProject/0715_javascript.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [15/Jul/2016:10:57:07 +0900] "GET /01.HTMLProject/0715_javascript.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [15/Jul/2016:11:02:37 +0900] "GET /01.HTMLProject/0715_javascript.html HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [15/Jul/2016:11:04:07 +0900] "GET /01.HTMLProject/0715_javascript.html HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [15/Jul/2016:11:06:20 +0900] "GET /01.HTMLProject/0715_javascript.html HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [15/Jul/2016:11:07:50 +0900] "GET /01.HTMLProject/0715_javascript.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2016:11:08:52 +0900] "GET /01.HTMLProject/0715_javascript.html HTTP/1.1" 200 1174
